Year,Value,Temporal Polarity,Value_start,Value_end,Color
1850,-0.18,negative,0,-0.18,teal
1851,-0.1,negative,0,-0.1,teal
1852,-0.11,negative,0,-0.11,teal
1853,-0.12,negative,0,-0.12,teal
1854,-0.11,negative,0,-0.11,teal
1855,-0.12,negative,0,-0.12,teal
1856,-0.25,negative,0,-0.25,teal
1857,-0.27,negative,0,-0.27,teal
1858,-0.2,negative,0,-0.2,teal
1859,-0.08,negative,0,-0.08,teal
1860,-0.22,negative,0,-0.22,teal
1861,-0.24,negative,0,-0.24,teal
1862,-0.29,negative,0,-0.29,teal
1863,-0.14,negative,0,-0.14,teal
1864,-0.17,negative,0,-0.17,teal
1865,-0.11,negative,0,-0.11,teal
1866,-0.09,negative,0,-0.09,teal
1867,-0.16,negative,0,-0.16,teal
1868,-0.13,negative,0,-0.13,teal
1869,-0.11,negative,0,-0.11,teal
1870,-0.16,negative,0,-0.16,teal
1871,-0.17,negative,0,-0.17,teal
1872,-0.17,negative,0,-0.17,teal
1873,-0.18,negative,0,-0.18,teal
1874,-0.2,negative,0,-0.2,teal
1875,-0.19,negative,0,-0.19,teal
1876,-0.21,negative,0,-0.21,teal
1877,0.06,positive,0,0.06,orangered
1878,0.06,positive,0,0.06,orangered
1879,-0.1,negative,0,-0.1,teal
1880,-0.16,negative,0,-0.16,teal
1881,-0.12,negative,0,-0.12,teal
1882,-0.12,negative,0,-0.12,teal
1883,-0.22,negative,0,-0.22,teal
1884,-0.3,negative,0,-0.3,teal
1885,-0.32,negative,0,-0.32,teal
1886,-0.25,negative,0,-0.25,teal
1887,-0.3,negative,0,-0.3,teal
1888,-0.16,negative,0,-0.16,teal
1889,-0.07,negative,0,-0.07,teal
1890,-0.27,negative,0,-0.27,teal
1891,-0.18,negative,0,-0.18,teal
1892,-0.25,negative,0,-0.25,teal
1893,-0.31,negative,0,-0.31,teal
1894,-0.22,negative,0,-0.22,teal
1895,-0.19,negative,0,-0.19,teal
1896,-0.05,negative,0,-0.05,teal
1897,-0.07,negative,0,-0.07,teal
1898,-0.23,negative,0,-0.23,teal
1899,-0.16,negative,0,-0.16,teal
1900,-0.08,negative,0,-0.08,teal
1901,-0.13,negative,0,-0.13,teal
1902,-0.24,negative,0,-0.24,teal
1903,-0.32,negative,0,-0.32,teal
1904,-0.43,negative,0,-0.43,teal
1905,-0.24,negative,0,-0.24,teal
1906,-0.21,negative,0,-0.21,teal
1907,-0.33,negative,0,-0.33,teal
1908,-0.4,negative,0,-0.4,teal
1909,-0.43,negative,0,-0.43,teal
1910,-0.4,negative,0,-0.4,teal
1911,-0.41,negative,0,-0.41,teal
1912,-0.33,negative,0,-0.33,teal
1913,-0.33,negative,0,-0.33,teal
1914,-0.15,negative,0,-0.15,teal
1915,-0.1,negative,0,-0.1,teal
1916,-0.31,negative,0,-0.31,teal
1917,-0.43,negative,0,-0.43,teal
1918,-0.28,negative,0,-0.28,teal
1919,-0.24,negative,0,-0.24,teal
1920,-0.25,negative,0,-0.25,teal
1921,-0.18,negative,0,-0.18,teal
1922,-0.25,negative,0,-0.25,teal
1923,-0.25,negative,0,-0.25,teal
1924,-0.23,negative,0,-0.23,teal
1925,-0.2,negative,0,-0.2,teal
1926,-0.09,negative,0,-0.09,teal
1927,-0.18,negative,0,-0.18,teal
1928,-0.17,negative,0,-0.17,teal
1929,-0.31,negative,0,-0.31,teal
1930,-0.11,negative,0,-0.11,teal
1931,-0.06,negative,0,-0.06,teal
1932,-0.12,negative,0,-0.12,teal
1933,-0.25,negative,0,-0.25,teal
1934,-0.1,negative,0,-0.1,teal
1935,-0.15,negative,0,-0.15,teal
1936,-0.12,negative,0,-0.12,teal
1937,0.01,positive,0,0.01,orangered
1938,0.02,positive,0,0.02,orangered
1939,0.01,positive,0,0.01,orangered
1940,0.15,positive,0,0.15,orangered
1941,0.22,positive,0,0.22,orangered
1942,0.09,positive,0,0.09,orangered
1943,0.1,positive,0,0.1,orangered
1944,0.23,positive,0,0.23,orangered
1945,0.14,positive,0,0.14,orangered
1946,-0.04,negative,0,-0.04,teal
1947,-0.01,negative,0,-0.01,teal
1948,-0.06,negative,0,-0.06,teal
1949,-0.06,negative,0,-0.06,teal
1950,-0.13,negative,0,-0.13,teal
1951,-0.01,negative,0,-0.01,teal
1952,0.05,positive,0,0.05,orangered
1953,0.13,positive,0,0.13,orangered
1954,-0.07,negative,0,-0.07,teal
1955,-0.13,negative,0,-0.13,teal
1956,-0.17,negative,0,-0.17,teal
1957,0.06,positive,0,0.06,orangered
1958,0.08,positive,0,0.08,orangered
1959,0.07,positive,0,0.07,orangered
1960,0.03,positive,0,0.03,orangered
1961,0.07,positive,0,0.07,orangered
1962,0.05,positive,0,0.05,orangered
1963,0.08,positive,0,0.08,orangered
1964,-0.15,negative,0,-0.15,teal
1965,-0.06,negative,0,-0.06,teal
1966,-0.02,negative,0,-0.02,teal
1967,0.01,positive,0,0.01,orangered
1968,-0.06,negative,0,-0.06,teal
1969,0.09,positive,0,0.09,orangered
1970,0.05,positive,0,0.05,orangered
1971,-0.05,negative,0,-0.05,teal
1972,0.03,positive,0,0.03,orangered
1973,0.2,positive,0,0.2,orangered
1974,-0.05,negative,0,-0.05,teal
1975,0.02,positive,0,0.02,orangered
1976,-0.03,negative,0,-0.03,teal
1977,0.21,positive,0,0.21,orangered
1978,0.12,positive,0,0.12,orangered
1979,0.22,positive,0,0.22,orangered
1980,0.29,positive,0,0.29,orangered
1981,0.35,positive,0,0.35,orangered
1982,0.19,positive,0,0.19,orangered
1983,0.35,positive,0,0.35,orangered
1984,0.2,positive,0,0.2,orangered
1985,0.17,positive,0,0.17,orangered
1986,0.22,positive,0,0.22,orangered
1987,0.34,positive,0,0.34,orangered
1988,0.42,positive,0,0.42,orangered
1989,0.31,positive,0,0.31,orangered
1990,0.45,positive,0,0.45,orangered
1991,0.42,positive,0,0.42,orangered
1992,0.23,positive,0,0.23,orangered
1993,0.27,positive,0,0.27,orangered
1994,0.32,positive,0,0.32,orangered
1995,0.48,positive,0,0.48,orangered
1996,0.35,positive,0,0.35,orangered
1997,0.5,positive,0,0.5,orangered
1998,0.63,positive,0,0.63,orangered
1999,0.42,positive,0,0.42,orangered
2000,0.43,positive,0,0.43,orangered
2001,0.55,positive,0,0.55,orangered
2002,0.62,positive,0,0.62,orangered
2003,0.63,positive,0,0.63,orangered
2004,0.55,positive,0,0.55,orangered
2005,0.7,positive,0,0.7,orangered
2006,0.66,positive,0,0.66,orangered
2007,0.66,positive,0,0.66,orangered
2008,0.55,positive,0,0.55,orangered
2009,0.66,positive,0,0.66,orangered
2010,0.73,positive,0,0.73,orangered
2011,0.63,positive,0,0.63,orangered
2012,0.66,positive,0,0.66,orangered
2013,0.68,positive,0,0.68,orangered
2014,0.77,positive,0,0.77,orangered
2015,0.92,positive,0,0.92,orangered
2016,1.03,positive,0,1.03,orangered
2017,0.95,positive,0,0.95,orangered
2018,0.87,positive,0,0.87,orangered
2019,0.98,positive,0,0.98,orangered
2020,1.01,positive,0,1.01,orangered
2021,0.86,positive,0,0.86,orangered
