formatted_date(Y-M-D),inventory_of_houses_for_sale
2014-05-23,1259846
2014-05-30,1267406
2014-06-06,1267556
2014-06-13,1283404
2014-06-20,1304879
2014-06-27,1318983
2014-07-04,1312452
2014-07-11,1312264
2014-07-18,1322509
2014-07-25,1345303
2014-08-01,1335169
2014-08-08,1371714
2014-08-15,1366696
2014-08-22,1367950
2014-08-29,1367285
2014-09-05,1410181
2014-09-12,1372117
2014-09-19,1363471
2014-09-26,1357897
2014-10-03,1354017
2014-10-10,1347559
2014-10-17,1344360
2014-10-24,1344051
2014-10-31,1337775
2014-11-07,1301806
2014-11-14,1312791
2014-11-21,1310529
2014-11-28,1291627
2014-12-05,1272675
2014-12-12,1240757
2014-12-19,1220445
2014-12-26,1197383
2015-01-02,1172781
2015-01-09,1129988
2015-01-16,1139260
2015-01-23,1143307
2015-01-30,1150413
2015-02-06,1150799
2015-02-13,1160857
2015-02-20,1169387
2015-02-27,1172562
2015-03-06,1177965
2015-03-13,1189184
2015-03-20,1213148
2015-03-27,1202620
2015-04-03,1234258
2015-04-10,1242813
2015-04-17,1269141
2015-04-24,1288237
2015-05-01,1300700
2015-05-08,1313374
2015-05-15,1345328
2015-05-22,1362907
2015-05-29,1367794
2015-06-05,1370319
2015-06-12,1406603
2015-06-19,1417363
2015-06-26,1424018
2015-07-03,1427250
2015-07-10,1424506
2015-07-17,1451491
2015-07-24,1456956
2015-07-31,1461950
2015-08-07,1446846
2015-08-14,1457076
2015-08-21,1466484
2015-08-28,1469715
2015-09-04,1456358
2015-09-11,1445825
2015-09-18,1455109
2015-09-25,1440188
2015-10-02,1428180
2015-10-09,1406252
2015-10-16,1418062
2015-10-23,1421755
2015-10-30,1419053
2015-11-06,1385711
2015-11-13,1380298
2015-11-20,1364461
2015-11-27,1345855
2015-12-04,1318327
2015-12-11,1281508
2015-12-18,1264761
2015-12-25,1236114
2016-01-01,1216044
2016-01-08,1167101
2016-01-15,1178900
2016-01-22,1164788
2016-01-29,1161969
2016-02-05,1176808
2016-02-12,1178015
2016-02-19,1158291
2016-02-26,1164870
2016-03-04,1157871
2016-03-11,1170376
2016-03-18,1173901
2016-03-25,1175012
2016-04-01,1169069
2016-04-08,1174086
2016-04-15,1191836
2016-04-22,1221366
2016-04-29,1232544
2016-05-06,1229497
2016-05-13,1245902
2016-05-20,1258251
2016-05-27,1271021
2016-06-03,1271737
2016-06-10,1280283
2016-06-17,1301688
2016-06-24,1302814
2016-07-01,1311052
2016-07-08,1301511
2016-07-15,1309715
2016-07-22,1317929
2016-07-29,1319611
2016-08-05,1302144
2016-08-12,1309339
2016-08-19,1298081
2016-08-26,1290734
2016-09-02,1286820
2016-09-09,1271777
2016-09-16,1279274
2016-09-23,1283593
2016-09-30,1273636
2016-10-07,1252085
2016-10-14,1251793
2016-10-21,1246597
2016-10-28,1242042
2016-11-04,1233494
2016-11-11,1211865
2016-11-18,1196762
2016-11-25,1179040
2016-12-02,1158234
