Stimuli,Questions
s4,What is a choropleth?
s4,Is there a difference in vaccination rate in the shade of green between the United States and Canada?
s4,What country in South America has the darkest shade of green?
s4,What shade of green or approximately what percentage of people have received vaccinations in Spain?
s4,How many countries are represented in South America on this map?
s4,What country in Africa has the lowest vaccination rate?
s4,What region is Egypt located in?
s4,What country in Asia has the highest vaccination rate?
s4,Are there higher vaccination rates in South America or North America?
s4,What is the vaccination rate in Russia?
s4,Do you have information on the percent of people who received two doses of a vaccine?
s4,What country has the highest vaccination rate according to the data?
s4,What country has the lowest vaccination rate?
s1,In what year were the highest number of homes for sale?
s1,At what point were the fewest number of houses for sale?
s1,Can you tell me the number of houses that were for sale on the last date of the February?
s1,What year saw the greatest increase in homes for sale?
s1,How much was that increase?
s1,What year saw the greatest decrease in sales?
s1,"For the time from September 2019 to September 2020, what was the average decrease in homes for sale?"
s1,What month had the greatest decrease in homes for sale?
s1,And what was that decrease?
s1,What is the highest point on this graph?
s1,What is the average number of homes for sale from 2015 to 2021?
s2,What year had the greatest negative temperature anomaly?
s2,What year had the greatest positive temperature anomaly?
s2,What is the average temperature anomaly between 2000 and 2010?
s2,What is the general trend in temperature anomalies?
s2,What is the average increase between 1950 to 2000?
s2,Are there more negative or positive temperature anomalies?
s2,Are there more blue bars or red bars?
s2,For one degree Celsius what is the equivalent temperature in Fahrenheit?
s2,Between what two years was there the greatest change in temperature anomalies?
s2,And what was that change?
s2,What is the average change in temperature from 1880 to 1940?
s2,What is the difference in temperature anomalies between 1880 and 2021?
s2,Is that Fahrenheit or Celsius?
s2,What is the lowest temperature anomaly after 1940?
s2,And what year was that?
s2,What decade saw the greatest change in temperature anomalies?
s3,What country has the highest life expectancy?
s3,What country has the highest GDP per capita?
s3,Does there appear to be a relationship between GDP per capita and life expectancy?
s3,What country is the greatest outlier?
s3,What is the life expectancy and GDP per capita of Guinea?
s3,Does there appear to be a trend between population and life expectancy?
s3,What region appears to have the greatest life expectancy?
s3,What is the average life expectancy for the world?
s3,What region of the world has the highest GDP?
s3,Do people in the United States or Chile have a higher life expectancy?
s3,"Overall, how does life expectancy change per change in GDP?"
s3,What would be the average trend in change?
s3,What is the correlation between life expectancy and GDP?
s3,"How much does life expectancy change from 50,000 to 100,000 GDP?"
s4,Which country is in dire need for the vaccine?
s4,Which country has the lowest percentage of population that is vaccinated?
s4,Is Africa the country that needs the vaccine the most?
s4,What are the countries that have the highest vaccination rates?
s4,What is the value of the highest vaccination rate?
s4,Can some countries help other countries increase the vaccination rate?
s1,What is changing on the y axis?
s1,What is the X axis?
s1,Why is the cost of houses going up in the end of the year?
s2,What do we mean by temperature anomalies?
s2,Were the anomalies mostly the negatives up to 1940 and then they weren't positive?
s2,Is (the trend) because of the climate change?
s2,What was the average temperature on the graph for the years.
s3,What exactly is a scatterplot?
s3,What is GDP?
s3,Is this saying that North America and Oceania have the highest GDP per capita?
s3,Is this showing that there is a relationship between life expectancy and GDP?
s3,What is the median of GDP and life expectancy?
s3,What is the average GDP in Africa?
s3,What is the average Life Expectancy in Africa?
s3,What is the average GDP in Europe?
s3,What is the average Life Expectancy in Europe?
s3,What is the average GDP in North America?
s3,What is the average Life Expectancy in North America?
s3,Are there lines that connect the life expectancies and GDP that show the correlation? How is the correlation depicted?
s4,What's the most vaccinated country in the chart?
s4,What continent (is United Arab Emirates)?
s4,What country is the least vaccinated?
s4,Where does the United States fall on this chart?
s4,"Does the chart show what vaccines are being used at all in any way, shape or form?"
s4,What are the variations in South America?
s1,Was there ever a year where there are more than a million homes for sale?
s1,What year had more than a million homes for sale?
s1,What does the line look like?
s1,Did 2014 had the most homes for sale?
s1,What year had the least homes for sale?
s1,What was the average number of homes for sale in 2020?
s1,What season tends to have the most homes for sale?
s1,What month tends to have the most homes for sale?
s1,Did July and August have similar amounts of homes for sale?
s1,What month has the least number of homes for sale?
s3,What is oceania?
s3,Does overall lower range refer to Africa?
s3,Is Asia in the medium upper range in 60 to 80 area?
s3,Is North American above the maximum?
s3,Is Europe closer to maximum?
s3,Does North American and South America appear to have similar life expectancy?
s3,Do Oceania and Europe have similar life expectancy?
s3,What is the source of this information? Where did it come from?
s3,Is there a positive correlation between life expectancy and GDP per Capita?
s3,Does the chart also have the information about population like the table has one?
s3,Does each circle give the specific number of population like the table or just the size of the circle?
s3,Is there any correlation between population and GDP per capita?
s3,Is New Zealand included on this map?
s2,Is the range from negative 1.8 to positive 1.8 temperature?
s2,How are we defining temperature anomalies?
s2,Does the baseline of the temperature starts at zero?
s2,"As the year goes by, do negative anomalies become less prevalent and positive anomalies become more prevalent?"
s1,What area is the graph representing?
s1,Does the chart also show the specific time of the year?
s1,Is there any other places that I can get some new information like a graph which shows by each region of the US?
s1,What month was this chart published?
s1,Is the chart part of the larger article?
s4,What country has the darkest shades for the lowest and highest?
s4,"Across the whole map, are more areas of the world lighter green, darker green or in the middle?"
s4,What is the standard deviation for average 38.5 percent?
s4,What is the range?
s4,Is 50 percent dark green and 25 percent light green?
s4,What is the chart talking about?
s4,Which country have the highest vaccination rate?
s4,Which country have the lowest vaccination rate?
s4,How is the chart sorted?
s2,How high is the highest temperture versus the lowest temperature?
s2,In what years did the highest and lowest temperature occur?
s2,Where were the measurement taken?
s3,Which country have the highest life expectancy?
s3,Which country have the lowest life expectancy?
s3,How many years do people expect to live in those countries?
s1,Is the graph broken down by how many homes were sold in the States?
s1,Is the graph broken up into countries?
s1,Is the graph showing in the US?
s1,Does it show why there was a decrease or increase in home being bought?
s1,How the lines are layed out?
s1,Is a bar graph showing the different number of houses being bought?
s1,Is the graph from the least amount of homes bought to the most?
s1,"How does the line go, up and down or diagonal?"
s1,Does the graph go down and up squiggly?
s1,Does the graph's overall trend going down like mountainous?
s1,Does the x axis on the chart have month on it or just years?
s1,Is the month noted on the graph or table?
s1,So the chart depicts home for sale starting in 2015 and the graph depicts the sale starting in 2014?
s1,Would it be accurate to describe the line of the chart as going up like hills and vallies type of trend?
s1,Are there more homes for sale in the beginning of the year and a fewer in the next year and more in the next year and then fewer?
s1,Are weekly dates on the table interval of one week?
s1,Is the line going up and down?
s3,Is the point that represents Africa both in lower level of life expectancy and GDP?
s3,Is the point that represents Oceania both in higher level of life expectancy and GDP?
s3,Are there any countries on the chart that show a shorter life expectancy but a higher GDP?
s3,How would a person know that that was Equatorial Guinea?
s3,Is it a map?
s3,Are scatterpoints of specific countries displayed?
s3,"Are points that represent Asia, North America, and Europe in medium upper range in terms of both GDP and life expectancy?"
s2,Does the right side have the positive temperature and the left side have negative temperature both along with y-axis?
s2,Are the years running along the x-axis?
s2,Is there any line connecting all of the points at which the line of the year intersect with temperture line where you can see the trajextory?
s2,Does the bar chart reprsent the year from 1880 to 2021 and table represent from 1880 to 2020?
s2,Are negative temperatures on the left represented along the y-axis?
s4,How are the region sorted?
s4,What is the vaccination status of France?
s4,What is the vaccination status of US?
s4,What is the percentage at which vaccinated population reach herd immunity?
s4,What period of the time this data represent?
s4,What countries have higher vaccination status inspite of being in the continent that do not have high vaccination status?
s4,Are there any countries that have a lower rate of vaccination on the continent that have high vaccination rate?
s2,Is the trend always going up through the whole time?
s2,How many temperture anomolies were there in 2020?
s2,How is it calculated for each year?
s4,What percentage of people are vaccinated in Austrailia?
s4,What ages does this graph cover?
s4,What is the percentage of people vaccinated in the US?
s4,What is the difference between Austrailia and Africa in percentage wise?
s4,Is there a lot of variation between western European countries and eastern European countries in vaccination rates?
s4,Can you tell me on average how much higher?
s4,Does the data talk about the people with double dose or people having a booster shot?
s4,what types of vaccination type are included?
s1,"Where are the homes sold from? Country, city or state what does it relate to?"
s1,Is the graph represent whole US?
s1,Does the system know the causes for sharp decrease in home sales other than Covid?
s3,What is the life expectancy for people in New Zealand?
s3,What is the difference between life expectancy of people in US and Austrailia in percentage wise?
s3,"Between Australia and the United States, which country has higher income or GDP per capita?"
s3,By how much?
s3,"What is the difference in life span between great Britain and the US, and which is higher?"
s3,What is meant by medium range?
s3,What is meant by upper range?
s3,What data is the second colum?
s3,What data is the third colum?
s3,What data is the first colunm?
s3,Is 70 in the medium range?
s3,Is 80 in the upper range?
s3,Is the dollar amount in 1000s in the third column or is that an actual figure?
s3,What is the country with the highest life expectancy?
s3,What is the country with the lowest life expectancy?
s3,Is the picture(chart) in between 50 to 80?
s3,What is the country with the least population?
s3,What is the country with the most population?
s3,What is the medium range for the population?
s3,What is the lowest life expectancy?
s3,What is the country with the lowest gdp per capita?
s3,How many countries are listed?
s3,Is the life expectancy of 8 continents similar in all countries?
s1,Is column two showing houses for sale?
s1,Is the date of column one going up by specific increment?
s1,Are these houses for sale in the US?
s1,Are these house for sale sold by public owners or private owners?
s1,Are these new houses or old houses?
s4,What country have the lowest percent of vaccination rate?
s4,What country have the highest percent of vaccination rate?
s4,What is the highest rate of the country?
s4,What is average vaccination rate in Europe?
s4,What is the median vaccination rate?
s4,What is the median vaccination rate in North America?
s4,What is the vaccination rate in the US?
s4,What is the vaccination rate in Canada?
s2,What is positive anomalies?
s2,What is the highest positive anomalies?
s2,What is the lowest negative anomalies?
s2,What is the average of positive anamolies?
s2,Does this include all countries on the globe?
s2,What is the highest anomolies in the US?
s2,What is the highest anamolies in the north pole?
s4,Can you describe me the what is the difference between the darkest green and the one after that? How the system would describe me those five different light to dark options or colors visually?
s4,Is the populations information in the chart?
s4,What countries have more than 80% of population vaccinated?
s4,Is there a population specific information? for example not only the percentage of the population vaccinated but gender age elderly person more vaccinated adults or children
s4,"Does the data differ based on gender and the age? For instance, elderly population is more vaccinated versus young, or adults versus children"
s3,What is Oceania?
s3,What is life expectancy versus GDP for Turkey?
s3,What regions fall into the clolor of red?
s3,What is the differnece between Europe and North America?
s3,Which of the South American country have the highest life expectancy?
s3,Which country have the highest GDP?
s3,What is the life expectancy in Qatar?
s3,What is the GDP in Qatar?
s3,Which country have the similar life expectancy with Qatar?
s3,Which country have the lowest life expectancy rate?
s3,What is the life expectancy in that country?
s1,Which month of the house sales in 2015 is the highest?
s1,What is the highest rate of house sales of the month?
s1,What is the lowest percentage of houses sale in that two years range between 2020 and 2021?
s1,What year and month have the highest number of houses?
s1,What is the average number of houses sold in 2018?
s1,What is the lowest number of house sales?
s2,Which year have the highest negative temperature anomalies?
